ID	家系	体重	性别
900202499109335	21	636	雌性
900219001547402	60	738	雌性
900219001943813	3	793	雌性
900219001943323	3	762	雌性
900202499110568	42	678	雌性
900219001943669	15	635	雌性
900219001943469	12	440	雌性
900219001547547	68	652	雌性
900219001941959	73	677	雌性
900219001942112	78	640	雌性
900219001547501	68	678	雌性
900219001941990	73	670	雌性
900202499110999	51	644	雌性
900219001547946	62	629	雌性
900202499110821	43	824	雌性
900202499109488	21	654	雌性
900219001943949	2	740	雌性
900219001943771	2	698	雌性
900219001942252	81	626	雌性
900219001548178	65	603	雌性
900202499110584	41	636	雌性
900219001941920	82	655	雌性
900219001943562	14	774	雌性
900219001941722	83	680	雌性
900202499110094	51	679	雌性
900202499110926	42	855	雌性
900202499110919	50	646	雌性
900202499110594	41	761	雌性
900219001941910	87	632	雌性
900202499110518	40	681	雌性
900219001941646	92	674	雌性
900202499110660	44	746	雌性
900202499110916	46	730	雌性
900219001548055	57	703	雌性
900202302003575	94	719	雌性
900219001942187	83	628	雌性
900219001943637	12	496	雌性
900219001547325	62	648	雌性
900202499109897	21	668	雌性
900219001943702	6	627	雌性
900202302003693	96	764	雌性
900219001941591	87	606	雌性
900202499109596	32	708	雌性
900219001942134	78	667	雌性
900219001548010	62	643	雌性
900202499110824	47	682	雌性
900219001547486	68	684	雌性
900219001943687	7	614	雌性
900202302003303	96	624	雌性
900219001943410	12	604	雌性
900219001941553	83	690	雌性
900202499110051	53	678	雌性
900219001941560	86	612	雌性
900202499109715	35	630	雌性
900202302003342	94	616	雌性
900219001547764	57	706	雌性
900202499110352	40	748	雌性
900202499109509	32	690	雌性
900219001942070	81	686	雌性
900219001943583	6	594	雌性
900202302003242	96	546	雌性
900219001201062	102	554	雌性
900219001943478	3	761	雌性
900202499110841	43	774	雌性
900219001943574	5	680	雌性
900202499109738	35	675	雌性
900202499110031	40	652	雌性
900202499109631	34	702	雌性
900202302003641	96	733	雌性
900219001547357	65	615	雌性
900219001943466	5	748	雌性
900219001941536	92	761	雌性
900219001201020	102	445	雌性
900219001943985	8	776	雌性
900202499110007	53	683	雌性
900202499110348	38	672	雌性
900202302003169	96	562	雌性
900202499109264	30	758	雌性
900202499109165	22	596	雌性
900202499110599	36	712	雌性
900219001943819	13	647	雌性
900219001941470	87	624	雌性
900219001943447	14	695	雌性
900219001943654	15	666	雌性
900202499110564	53	688	雌性
900219001941514	86	652	雌性
900219001941861	81	670	雌性
900202499110411	50	634	雌性
900202499110176	53	673	雌性
900219001547523	73	680	雌性
900202499110256	47	692	雌性
900219001943360	7	464	雌性
900219001943515	16	617	雌性
900219001547350	68	700	雌性
900219001942293	87	660	雌性
900219001547820	70	604	雌性
900219001941590	73	681	雌性
900219001943382	16	655	雌性
900219001943474	15	697	雌性
900219001942295	81	598	雌性
900219001941751	81	598	雌性
900202302003756	96	676	雌性
900202499110548	44	732	雌性
900202302003508	96	694	雌性
900202499110424	41	642	雌性
900219001943660	14	740	雌性
900202499110194	42	720	雌性
900202499110396	53	698	雌性
900202499109291	22	554	雌性
900219001547888	60	592	雌性
900202499110978	46	740	雌性
900219001941499	87	591	雌性
900202499110523	36	708	雌性
900219001547328	58	620	雌性
900219001944307	7	514	雌性
900202302003708	96	582	雌性
900219001943674	6	592	雌性
900219001944281	12	573	雌性
900219001201559	94	722	雌性
900219001943614	7	411	雌性
900219001941393	78	691	雌性
900219001943331	14	693	雌性
900202499110857	40	693	雌性
900202499110754	40	644	雌性
900219001547691	62	733	雌性
900202499109820	30	679	雌性
900202499109475	30	717	雌性
900219001941494	82	706	雌性
900202499110942	51	673	雌性
900219001944042	3	766	雌性
900219001943666	5	680	雌性
900219001547424	65	650	雌性
900219001942277	92	603	雌性
900219001941392	76	701	雌性
900202499110646	41	680	雌性
900219001547326	67	672	雌性
900219001547971	57	658	雌性
900219001547859	67	752	雌性
900219001941855	83	636	雌性
900202499110608	51	654	雌性
900219001548281	73	702	雌性
900219001941360	92	632	雌性
900219001547749	60	673	雌性
900219001547617	60	682	雌性
900219001941681	81	648	雌性
900219001942206	83	634	雌性
900219001943443	15	671	雌性
900219001941711	92	593	雌性
900202499110688	43	730	雌性
900202499109636	32	727	雌性
900219001941522	83	654	雌性
900219001548214	62	731	雌性
900202499110856	42	718	雌性
900219001547699	68	655	雌性
900202499110388	50	637	雌性
900219001941526	83	669	雌性
900219001943347	5	701	雌性
900219001943987	15	634	雌性
900219001942248	92	640	雌性
900219001942202	81	627	雌性
900219001941865	75	772	雌性
900202499109261	22	653	雌性
900219001943827	8	638	雌性
900219001943530	16	704	雌性
900202499110362	44	776	雌性
900219001941456	94	626	雌性
900202499109194	18	602	雌性
900202499110160	37	664	雌性
900219001941441	82	667	雌性
900219001547625	62	566	雌性
900219001547578	60	602	雌性
900219001943435	15	662	雌性
900202499110401	47	717	雌性
900219001943587	12	725	雌性
900202499109285	21	640	雌性
900219001547657	60	703	雌性
900219001547363	70	616	雌性
900219001941398	78	735	雌性
900219001547314	67	652	雌性
900202499110260	36	761	雌性
900219001547543	64	587	雌性
900219001943571	12	644	雌性
900219001942303	87	706	雌性
900202499109146	22	707	雌性
900219001944071	1	640	雌性
900219001941746	81	630	雌性
900202499110412	45	700	雌性
900219001941719	92	640	雌性
900219001547975	58	631	雌性
900219001941580	93	584	雌性
900202499109513	34	643	雌性
900202499109134	27	599	雌性
900219001943644	12	479	雌性
900202499110466	51	666	雌性
