孵化池	家系	亲本类型	have_fish	修改时间
1-1	3	雌性	900202302005567	2025-04-08 10:57:03.784
1-2	3	雌性	900202302005721	2025-04-08 10:57:22.518
1-3	3	雌性	no_fish	
1-4	3	雌性	no_fish	
1-5	46	雌性	900219001208973	2025-04-08 10:56:50.238
1-6	46	雌性	900202302003831	2025-04-08 10:57:31.855
1-7	46	雌性	900202499110894	2025-04-08 11:00:12.144
1-8	68	雌性	900219001547361	2025-04-08 10:53:21.424
1-9	2	雌性	900219001943949	2025-04-08 10:55:14.933
1-10	68	雌性	900219001547584	2025-04-08 10:54:33.227
1-11	68	雌性	900219001547501	2025-04-08 11:05:28.145
1-12	2	雌性	900202302005114	2025-04-08 10:57:53.173
2-1	2	雌性	900202302005003	2025-04-08 10:59:30.804
2-2	30	雌性	900202499109210	2025-04-08 14:09:04.522
2-3	32	雌性	900202303000921	2025-04-08 10:43:24.010
2-4	5	雌性	900202302005908	2025-04-08 13:01:36.481
2-5	5	雌性	900219001943347	2025-04-08 13:02:51.668
2-6	32	雌性	900202303000921	2025-04-08 10:43:33.991
2-7	32	雌性	900202303000785	2025-04-08 10:43:43.368
2-8	5	雄性	900202302005547	2025-04-08 13:47:14.746
2-9	32	雌性	900202499109509	2025-04-08 10:56:25.767
2-10	37	雌性	900202303000295	2025-04-08 10:49:58.328
2-11	76	雌性	900202302004188	2025-04-08 13:48:28.960
2-12	37	雌性	no_fish	
3-1	53	雌性	900202499110564	2025-04-08 14:10:30.492
3-2	53	雌性	no_fish	
3-3	53	雌性	no_fish	
3-4	67	雌性	900219001547314	2025-04-08 11:18:52.514
3-5	67	雌性	900219001547528	2025-04-08 13:28:35.453
3-6	67	雌性	no_fish	
3-7	53	雌性	no_fish	
3-8	57	雌性	900219001547971	2025-04-08 11:04:52.936
3-9	57	雌性	900219001547651	2025-04-08 13:53:52.696
3-10	13	雌性	900219001943819	2025-04-08 10:54:42.013
3-11	13	雌性	no_fish	
3-12	94	雌性	900202302003575	2025-04-08 13:30:32.109
4-1	34	雌性	900202303000970	2025-04-08 10:48:12.217
4-2	94	雌性	900202302007182	2025-04-08 14:10:09.435
4-3	94	雌性	no_fish	
4-4	94	雌性	no_fish	
4-5	1	雌性	no_fish	
4-6	95	雌性	900202302003175	2025-04-08 10:23:01.961
4-7	1	雌性	no_fish	
4-8	1	雌性	no_fish	
4-9	40	雌性	900202499110031	2025-04-08 10:45:24.284
4-10	50	雌性	no_fish	
4-11	35	雄性	no_fish	
4-12	35	雌性	900202303000842	2025-04-08 10:46:56.448
5-1	50	雌性	no_fish	
5-2	35	雌性	900202303000795	2025-04-08 11:05:00.684
5-3	50	雌性	no_fish	
5-4	35	雌性	900202303000446	2025-04-08 11:18:28.936
5-5	51	雌性	900202499110466	2025-04-08 11:11:22.582
5-6	51	雌性	900202499110999	2025-04-08 13:24:40.263
5-7	60	雌性	900219001547617	2025-04-08 10:50:42.201
5-8	64	雌性	900202302004973	2025-04-08 10:26:27.702
5-9	75	雌性	900219001941599	2025-04-08 10:37:20.061
5-10	75	雌性	900219001941380	2025-04-08 13:00:19.162
5-11	83	雌性	900219001941457	2025-04-08 10:56:34.606
5-12	33	雌性	900202303000764	2025-04-08 13:07:09.969
6-1	75	雌性	no_fish	
6-2	75	雌性	no_fish	
6-3	83	雌性	900219001941440	2025-04-08 13:56:15.368
6-4	83	雌性	900219001942187	2025-04-08 13:57:05.422
6-5	33	雌性	900202303000614	2025-04-08 13:53:07.257
6-6	82	雌性	900202397201851	2025-04-08 10:29:04.724
6-7	86	雌性	900219001941514	2025-04-08 10:28:11.289
6-8	86	雌性	900219001941432	2025-04-08 10:50:50.159
6-9	96	雌性	900202302003242	2025-04-08 10:27:11.060
6-10	14	雌性	900219001943794	2025-04-08 14:05:27.936
6-11	86	雌性	900202397201923	2025-04-08 13:20:51.592
6-12	86	雌性	900219001942097	2025-04-08 13:53:02.616
7-1	14	雌性	900219001943778	2025-04-08 14:12:17.547
7-2	92	雌性	900219001941711	2025-04-08 11:06:02.124
7-3	27	雄性	900202303000978	2025-04-08 10:31:03.826
7-4	92	雌性	900219001941646	2025-04-08 13:06:32.488
7-5	27	雌性	900202499109134	2025-04-08 11:11:59.305
7-6	27	雌性	900202303000715	2025-04-08 14:05:00.135
7-7	27	雌性	no_fish	
7-8	6	雌性	900219001943892	2025-04-08 13:06:19.957
7-9	6	雌性	no_fish	
7-10	6	雌性	no_fish	
7-11	16	雌性	900219001943642	2025-04-08 10:49:46.282
7-12	16	雌性	no_fish	
8-1	81	雌性	900202397201620	2025-04-08 13:09:21.501
8-2	87	雌性	900219001942293	2025-04-08 10:46:42.061
8-3	81	雌性	900219001942295	2025-04-08 13:31:49.156
8-4	93	雌性	no_fish	
8-5	22	雌性	900202499109165	2025-04-08 13:59:37.333
8-6	22	雌性	900202499109261	2025-04-08 14:07:03.563
8-7	78	雌性	900202302004890	2025-04-08 10:49:07.450
8-8	78	雌性	900202302004410	2025-04-08 13:03:49.817
8-9	93	雌性	no_fish	
8-10	22	雌性	no_fish	
8-11	78	雌性	900202302004538	2025-04-08 13:05:53.397
8-12	70	雌性	900202302004752	2025-04-08 13:49:20.536
9-1	7	雌性	900202302005920	2025-04-08 10:20:43.150
9-2	7	雌性	900202302005562	2025-04-08 10:29:11.278
9-3	12	雌性	900202302005903	2025-04-08 10:25:46.124
9-4	12	雌性	900202302005128	2025-04-08 10:26:35.718
9-5	102	雌性	900202302007343	2025-04-08 10:21:29.560
9-6	102	雌性	900202302007229	2025-04-08 10:22:46.204
9-7	7	雌性	900202302005378	2025-04-08 10:29:21.320
9-8	12	雌性	900202302005559	2025-04-08 10:44:29.202
9-9	7	雌性	900202302005135	2025-04-08 10:44:21.313
9-10	102	雌性	900202302007294	2025-04-08 10:44:38.605
9-11	12	雌性	900202302005189	2025-04-08 10:46:50.296
9-12	102	雌性	900219001201542	2025-04-08 10:45:44.424
10-1	53	雌性	no_fish	
10-2	37	雌性	900202499110253	2025-04-08 11:00:25.513
10-3	41	雄性	900202499110987	2025-04-08 11:06:16.851
10-4	46	雌性	no_fish	
10-5	53	雌性	no_fish	
10-6	37	雌性	no_fish	
10-7	46	雌性	no_fish	
10-8	1	雌性	no_fish	
10-9	2	雌性	900219001943771	2025-04-08 13:21:37.990
10-10	3	雌性	no_fish	
10-11	8	雌性	900202302005882	2025-04-08 13:09:58.158
11-1	15	雌性	900202302005885	2025-04-08 10:48:59.626
11-2	21	雌性	900202302005272	2025-04-08 10:46:33.742
11-3	30	雌性	no_fish	
11-4	32	雌性	no_fish	
11-5	34	雌性	900202303000910	2025-04-08 13:29:52.594
11-6	35	雌性	900202499109738	2025-04-08 13:02:29.060
11-7	36	雌性	900202499109576	2025-04-08 10:26:42.488
11-8	37	雌性	no_fish	
11-9	40	雌性	900202302003754	2025-04-08 10:59:11.718
11-10	41	雌性	900219001204634	2025-04-08 11:20:27.830
11-11	42	雌性	900202499110856	2025-04-08 11:18:18.542
12-1	45	雌性	900219001208925	2025-04-08 13:28:57.315
12-2	46	雌性	no_fish	
12-3	47	雌性	900202499110256	2025-04-08 11:23:14.678
12-4	50	雌性	no_fish	
12-5	51	雌性	no_fish	
12-6	53	雌性	no_fish	
12-7	57	雌性	no_fish	
12-8	67	雌性	no_fish	
12-9	68	雌性	900219001547840	2025-04-08 13:01:24.851
12-10	73	雌性	900202302004958	2025-04-08 10:23:41.542
12-11	76	雌性	900202302004010	2025-04-08 13:50:21.849
1-1	46	雄性	900219001208962	2025-04-08 10:53:03.691
1-2	68	雄性	900219001547827	2025-04-08 10:59:22.547
1-3	2	雄性	900219001943692	2025-04-08 10:39:54.043
1-4	42	雄性	900202499110488	2025-04-08 10:53:35.074
1-5	42	雄性	900202499110579	2025-04-08 10:56:42.536
1-6	30	雄性	900202499109372	2025-04-08 11:01:24.993
1-7	36	雄性	900202303000304	2025-04-08 13:20:26.337
1-8	42	雄性	900202499110561	2025-04-08 10:59:05.295
1-9	42	雄性	900202499110044	2025-04-08 11:01:53.673
1-10	30	雄性	900202303000142	2025-04-08 13:28:22.827
1-11	36	雄性	no_fish	
1-12	30	雄性	no_fish	
2-1	36	雄性	no_fish	
2-2	36	雄性	no_fish	
2-3	5	雄性	no_fish	
2-4	76	雄性	900202302004730	2025-04-08 10:54:20.299
2-5	37	雄性	900202302003521	2025-04-08 10:55:07.258
2-6	76	雄性	900202302004566	2025-04-08 11:01:33.517
2-7	37	雄性	900202303000657	2025-04-08 11:04:45.864
2-8	73	雌性	900202302004902	2025-04-08 10:39:40.744
2-9	73	雄性	900219001547553	2025-04-08 10:52:42.366
2-10	76	雄性	900202302004869	2025-04-08 11:11:01.675
2-11	73	雄性	900202302004682	2025-04-08 11:06:59.218
2-12	73	雄性	no_fish	
3-1	67	雄性	900202302004292	2025-04-08 14:02:52.061
3-2	57	雄性	900202499109967	2025-04-08 10:34:32.677
3-3	41	雄性	900202302003917	2025-04-08 11:06:26.339
3-4	57	雄性	900219001548255	2025-04-08 13:20:31.084
3-5	41	雄性	900202302004980	2025-04-08 11:24:25.470
3-6	13	雌性	no_fish	
3-7	34	雄性	900202303000225	2025-04-08 11:02:00.127
3-8	41	雄性	no_fish	
3-9	13	雄性	900219001944095	2025-04-08 11:07:48.782
3-10	41	雄性	no_fish	
3-11	34	雄性	900202499109709	2025-04-08 11:04:34.413
3-12	34	雄性	900202499109752	2025-04-08 14:05:36.217
4-1	95	雄性	900202302007059	2025-04-08 11:19:41.732
4-2	95	雄性	900202302003679	2025-04-08 11:20:18.081
4-3	1	雄性	900202302005359	2025-04-08 11:17:18.498
4-4	40	雄性	900202499110799	2025-04-08 11:19:52.309
4-5	95	雄性	no_fish	
4-6	40	雄性	no_fish	
4-7	40	雄性	no_fish	
4-8	21	雄性	no_fish	
4-9	21	雄性	no_fish	
4-10	21	雄性	no_fish	
4-11	21	雌性	900202499109488	2025-04-08 10:56:18.968
4-12	50	雄性	900202499110662	2025-04-08 11:11:52.769
5-1	51	雄性	900202302003180	2025-04-08 13:29:11.970
5-2	51	雄性	900202499110883	2025-04-08 13:49:25.131
5-3			no_fish	
5-4	60	雄性	no_fish	
5-5	60	雄性	no_fish	
5-6	64	雄性	900219001547434	2025-04-08 13:21:12.144
5-7	64	雄性	900219001548252	2025-04-08 14:04:55.877
5-8	15	雌性	900202302004973	2025-04-08 10:26:27.702
5-9	64	雄性	no_fish	
5-10	15	雄性	900219001943948	2025-04-08 14:02:56.008
5-11	15	雄性	no_fish	
5-12	15	雄性	no_fish	
6-1	83	雄性	900202397201699	2025-04-08 11:05:49.479
6-2	33	雄性	900202499109556	2025-04-08 11:19:07.276
6-3	33	雄性	900202303000381	2025-04-08 13:23:12.414
6-4	82	雄性	900219001941654	2025-04-08 14:10:05.145
6-5	82	雄性	no_fish	
6-6	96	雄性	900202302003565	2025-04-08 13:31:12.599
6-7	82	雄性	no_fish	
6-8	96	雄性	no_fish	
6-9	62	雄性	900219001548078	2025-04-08 11:24:01.926
6-10	96	雄性	no_fish	
6-11	14	雄性	900219001943874	2025-04-08 13:54:31.200
6-12	92	雄性	900219001942271	2025-04-08 10:57:37.910
7-1	62	雄性	no_fish	
7-2	62	雄性	no_fish	
7-3	62	雌性	900219001547325	2025-04-08 13:54:14.716
7-4	14	雄性	900219001943426	2025-04-08 13:58:23.206
7-5	92	雄性	no_fish	
7-6	6	雄性	900219001943585	2025-04-08 13:25:04.894
7-7	16	雄性	900219001943786	2025-04-08 11:22:41.516
7-8	16	雄性	900202302005010	2025-04-08 14:06:42.532
7-9	87	雄性	no_fish	
7-10	81	雄性	900219001941873	2025-04-08 10:40:33.686
7-11	87	雄性	no_fish	
7-12	81	雄性	no_fish	
8-1	87	雄性	no_fish	
8-2	65	雄性	900202302004267	2025-04-08 13:10:21.483
8-3	65	雄性	900202302004569	2025-04-08 13:10:58.313
8-4	65	雄性	no_fish	
8-5	65	雄性	no_fish	
8-6	93	雄性	900202302007338	2025-04-08 10:27:28.782
8-7	93	雄性	900202302007378	2025-04-08 14:01:37.736
8-8	22	雄性	900202303000735	2025-04-08 10:34:20.284
8-9	70	雄性	900202302004671	2025-04-08 13:47:08.262
8-10	70	雄性	no_fish	
8-11	12	雄性	900202302005533	2025-04-08 10:31:37.060
8-12	12	雄性	900202302005624	2025-04-08 10:33:45.519
9-1	7	雄性	900219001943569	2025-04-08 10:33:28.110
9-2	7	雄性	900202302005358	2025-04-08 10:33:38.142
9-3	12	雄性	900202302005530	2025-04-08 13:07:17.309
9-4	12	雄性	900219001943857	2025-04-08 13:09:03.490
9-5	102	雄性	900202302007162	2025-04-08 10:34:45.110
9-6	102	雄性	900219001201029	2025-04-08 13:21:47.005
9-7	12	雄性	900202302005056	2025-04-08 13:56:01.842
9-8	7	雄性	900202302005185	2025-04-08 10:40:10.089
9-9	102	雄性	900219001201200	2025-04-08 13:57:00.955
9-10	7	雄性	900202302005520	2025-04-08 10:44:01.560
9-11	102	雄性	900202397201187	2025-04-08 14:11:23.810
9-12	12	雄性	900219001943394	2025-04-08 14:01:54.128
10-1	37	雄性	156020226010248	2025-04-08 14:01:16.162
10-2	53	雄性	156020226011154	2025-04-08 13:58:37.308
10-3	46	雌性	no_fish	
10-4	41	雄性	no_fish	
10-6	37	雄性	no_fish	
10-5	53	雄性	no_fish	
10-7	41	雄性	no_fish	
10-8	95	雄性	no_fish	
10-9	94	雄性	900202302007081	2025-04-08 11:22:56.919
10-10	76	雄性	900219001941811	2025-04-08 13:48:39.061
10-11	68	雄性	900219001548263	2025-04-08 13:50:27.890
11-1	64	雄性	no_fish	
11-2	60	雄性	no_fish	
11-3	57	雄性	900219001547924	2025-04-08 13:54:39.805
11-4	53	雄性	no_fish	
11-5	51	雄性	no_fish	
